,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,32150,29290,13702,68248,19492,98340,228
1,2002,32746,29012,13644,67886,20310,98474,152
2,2003,31694,26592,12416,65878,24650,101406,92
3,2004,36466,31156,14052,69134,20002,116242,178
4,2005,36718,31500,13574,68350,19968,116638,298
5,2006,38696,34828,15236,73234,19932,126256,134
6,2007,41474,40832,16186,77468,21900,151860,122
7,2008,42934,45878,16344,80826,24428,162688,134
8,2009,42794,51482,16766,77422,22018,179092,96
9,2010,44344,59590,16782,81226,19922,188082,72
10,2011,48412,71130,17236,85936,17140,198270,160
11,2012,49846,76524,16466,90702,18346,213054,118
12,2013,67414,103762,16166,141478,25178,237732,62
13,2014,73470,114622,16910,164470,19470,245754,26
